city,state,pop2017,pop.change,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,jan.avg,feb.avg,mar.avg,apr.avg,may.avg,jun.avg,jul.avg,aug.avg,sep.avg,oct.avg,nov.avg,dec.avg,jan.precip,feb.precip,mar.precip,apr.precip,may.precip,jun.precip,jul.precip,aug.precip,sep.precip,oct.precip,nov.precip,dec.precip,air.quality,weather.avg,precip.avg,results,weather.averages,precip.averages,rank.by.score
Gainesville,Florida,132249,0.0635,62.3,2112,34,66,0,25.7,0.9,0.29,0.38,95,4316,0,43,43,48,55,62,70,72,73,69,61,49,47,4.2,3.8,3.4,2.6,3.5,6.3,6.4,7.9,2.5,4.4,1.3,3.9,33,-0.7569393224695923,0.2694741473840342,-9.735823201643909,57.666666666666664,4.183333333333334,13
Dallas,Texas,1341075,0.1196,340.9,3866,46,46,40,32.5,1,0.46,0.49,95,3960,12,39,42,50,57,67,75,77,78,70,58,50,39,3.4,2.1,6.1,2.8,4.2,4.1,2.4,2.6,5,5,2.7,2.3,54,-0.9193767852972444,0.0544051921992281,-9.557525411454503,58.5,3.558333333333333,14
Augusta,Georgia,197166,0.0068,302.5,652,68,47,0,33.5,0.9,0.43,0.4,87,3217,0,39,41,48,56,63,71,73,73,68,57,46,43,3.3,3.6,3.4,3.1,2.7,4.6,4.4,5.4,3.3,2.3,2.6,4.9,42,-0.6566500854657525,0.11991573627607868,-9.499843900462402,56.5,3.6333333333333333,15
Syracuse,New York,143396,-0.0122,25,5735,61,46,44,30.6,0.9,0.34,0.46,87,4072,0,16,16,24,35,46,56,61,60,52,43,32,23,2.6,2.9,3.2,4,3.4,4.7,4.5,4,3.4,5.2,3.1,4.2,32,1.2672603527374524,0.1322800916073576,-9.350471685378688,38.666666666666664,3.7666666666666666,16
Milwaukee,Wisconsin,595351,9e-4,96.2,6186,62,54,49,31,0.9,0.36,0.52,89,5389,2,16,17,27,37,46,57,63,63,55,44,32,21,1.7,1.7,2.5,4.3,3.5,5,3.7,3.2,2.9,3.2,2.4,2.6,45,1.1193175693075368,-0.1631395375945361,-9.185875892528404,39.833333333333336,3.0583333333333336,17
Nashville,Tennessee,667560,0.1103,475.9,1388,91,61,0,34,0.9,0.46,0.45,98,4956,4,29,31,39,49,56,66,69,69,61,49,38,33,4.2,3.4,4.1,5.6,5.1,3.9,5,4.5,4,4,3.8,5.1,45,0.13125580831998546,0.42281640401878867,-9.035180278939066,49.083333333333336,4.391666666666667,18
Miami,Florida,463347,0.1599,36,12599,79,63,57,39.7,1,0.41,0.39,109,4735,1,60,61,64,69,73,76,77,77,76,73,67,64,1.8,2.3,2.6,3.9,6.2,10.8,9,10,10.1,7,2.9,2.7,41,-2.0061206733392982,0.6844556832820755,-9.01049677553636,69.75,5.775,19
San Antonio,Texas,1511946,0.139,461,3238,38,42,36,33.1,1,0.49,0.47,86,5552,0,42,47,54,60,67,73,75,75,71,62,53,45,2.4,1.2,2.5,2.4,4.4,1.8,2.3,2.9,3.2,2.4,1.5,1.8,45,-1.068199804810896,-0.4153137421744643,-8.972249671580842,60.333333333333336,2.4,20
Pittsburgh,Pennsylvania,302407,-0.0108,55.4,5481,62,51,54,32.9,1,0.39,0.39,91,3771,5,22,23,32,43,52,60,64,63,56,46,35,28,3.2,2.2,3.4,3.4,4.2,5.1,5.1,4.1,3.1,3.8,2.8,3.7,56,0.7287515971244838,0.0823936008357704,-8.846879802595257,43.666666666666664,3.675,21
Cleveland,Ohio,385525,-0.0285,77.7,4965,60,50,47,35.8,0.9,0.34,0.47,88,6473,12,27,23,32,42,53,67,68,69,62,53,37,27,4.5,2,3,5,2.2,2.8,7.6,14,5.5,5.3,3.6,3.1,55,0.3562496232846989,0.4698575963090727,-8.804278838149758,46.666666666666664,4.883333333333333,22
