city,state,pop2017,area.sq.mi,pop.density,walk.score,bike.score,transit.score,median.age,mf.ratio,married,families,cost.of.living,crime,concerts,weather.avg,precip.avg,air.quality,results,rank.by.size,rank.by.score
Roseville,California,0.28068702313031674,0.3747744635244645,0.33414001511216496,0.5603961025648163,-0.891125774362685,0.1325842078467838,1.118343785380193,-1.2995610791494325,1.375872504579808,0.23101412824743306,3.6529565337712953,-0.6669212328836008,-2.1899040769334044,0.41945024668154723,-0.6449233480299069,0.15566348055093246,2.9434469800307257,199,230
Cedar Rapids,Iowa,0.28586825761701457,0.170809698084031,0.7050935906372139,0.622551305096078,0.6925320303618581,1.1370589615702857,0.35231391964506303,0.5209952074067536,0.6097196864521089,0.23101412824743306,-3.9481259500358807,0.1882394455184435,0.7449094665141097,1.183727490611358,-0.12272789651613684,-0.39736591476314476,2.9766134264465887,209,231
Grand Prairie,Texas,0.18293027777471615,0.15980440498472703,0.46892282276441305,0.8090169126898632,0.9804698130390478,1.1370589615702857,-0.52314878405223,0.5209952074067536,0.7374118228067257,0.6193676087066315,-3.1685277465684782,-0.6082816435074606,0.7449094665141097,-0.91114485662852,1.7367389278242433,0.11312275783446499,2.999645953159293,125,232
Fontana,California,0.1528921502023673,0.3747744635244645,-0.20469036101546084,0.5603961025648163,0.5485631390232633,-0.31942943132879215,-1.152387602334659,0.5209952074067536,0.2266432773882588,1.5902513098546278,2.0937601268364903,-0.9937147778443821,-2.1899040769334044,-0.19729725053687605,0.5994060994054299,1.4318851620449569,3.042143538257854,105,233
Murfreesboro,Tennessee,0.2789443505828721,0.28012894287045037,0.5522595141029683,1.306258532939957,0.6925320303618581,1.1370589615702857,-1.1250293928441182,0.5209952074067536,-0.028740995320974655,0.8135443489362308,-2.3889295431010753,1.040962699937376e-4,0.7449094665141097,-0.12239666536564933,0.6516677821830362,-0.26974374661374234,3.043562890492956,194,234
Bakersfield,California,-0.12957618939345683,-0.4014655430797754,0.5014151067520086,0.49824090003355465,0.4045942476846684,-0.21898195595644193,-1.0976711833535784,0.5209952074067536,0.4820275500974922,1.3960745696250285,0.14476461816798353,0.5009839221911911,0.7449094665141097,-0.2673744221430086,-1.1043520878994182,1.176640825746152,3.1512250323932633,53,235
League City,Texas,0.3315236050368851,0.3146121945816028,0.6629739632458863,1.4927241405337421,0.9084853673697504,1.1370589615702857,0.2702392911734407,0.5209952074067536,1.758948913643658,1.2018978293954294,-1.9991304413673738,-1.224608161012934,-1.272774844606056,-1.2904393537458283,0.37142144749981953,0.028041312401530023,3.2119694331265918,292,236
Visalia,California,0.28456167091317786,0.415127204888579,0.21078967775184862,0.4360856975022929,-0.027312426331116076,1.1370589615702857,-0.7420144599765532,-1.2995610791494325,0.6097196864521089,1.2018978293954294,-0.6348335852994191,-0.033491501810086574,0.7449094665141097,0.15293482775155068,-0.055348309024603186,0.9639372121638146,3.364460873311987,206,237
Davenport,Iowa,0.3358393511443151,0.22877090840703188,0.7715824310192381,0.18746488737724604,0.4045942476846684,1.1370589615702857,0.18816466270182033,0.5209952074067536,0.3543354137428755,-0.15733935221176437,-3.7532263991690296,1.27856931048105,0.7449094665141097,1.0859563855759322,-0.02247397644330352,0.15566348055093246,3.4608649863521617,300,238
Tacoma,Washington,0.15021381454220067,0.32561748768090676,-0.016656310161320062,-0.49624234046663285,-0.027312426331116076,1.1370589615702857,0.4343885481166834,0.5209952074067536,-0.2841252680302081,-0.5456928326709629,0.14476461816798353,1.624909385233878,0.7449094665141097,0.7577261123539838,0.4768264473923261,-1.4608839826748319,3.4864968886440395,104,239
Glendale,California,0.16753026543550492,0.4672189255586178,-0.7251686137797225,-1.4907255809668203,0.04467201933818134,-1.1230092343075937,1.8022990226437026,-1.2995610791494325,0.9927960955159577,-1.9049300142781567,10.27954126324422,-1.2533171266450027,-2.1899040769334044,-0.3018045075520726,-0.854005104540961,0.9639372121638146,3.575569465746832,112,240
Round Rock,Texas,0.3001538283558945,0.42906724281436404,0.24057427140714452,1.4305689380024804,0.9804698130390478,1.1370589615702857,-0.33164131761844656,0.5209952074067536,0.8651039591613424,1.7844280500842271,-2.1940299922342246,-0.8703273085320871,-1.0893489981405866,-0.7873354080107606,1.6264465817197968,-0.43990663747961223,3.6022771915456193,221,241
Scottsdale,Arizona,0.08917516305298895,-0.6589894016034882,0.8588302306155594,0.8090169126898632,-0.38723465467760315,-0.16875821827026682,3.2522841256423423,0.5209952074067536,0.9927960955159577,-2.6816369751965525,2.4835592285701917,-0.8544457530760491,0.7449094665141097,-1.1876593127639685,-1.1041610650376392,0.9639372121638146,3.6726182615460137,85,242
